trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.92,,,,,,0,25,25,25,1
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8201,,,,,,0,26,26,26,1
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3856,,,,,,0,27,27,27,1
space,1,,,,,,5,0,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.2867,,,,,,0,28,28,28,1
space,1,,,,,,2,0,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3006,,,,,,0,29,29,29,1
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.425,,,,,,0,30,30,30,1
space,0,,,,,,2,0,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.6343,,,,,,0,31,31,31,1
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2878,,,,,,0,32,32,32,1
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.3252,,,,,,0,33,33,33,1
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.4112,,,,,,0,34,34,34,1
,0,,,,,,9,0.2,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,35,35,35,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.7375,,,,,,0,36,36,36,1
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.8967,,,,,,0,37,37,37,1
,1,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,38,38,38,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5452,,,,,,0,39,39,39,1
space,1,,,,,,5,0,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.933,,,,,,0,40,40,40,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8996,,,,,,0,41,41,41,1
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8005,,,,,,0,42,42,42,1
space,0,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.449,,,,,,0,43,43,43,1
