trialResp.keys,trialResp.corr,trialResp.rt,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,,,,,,,8,0,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,32,32,32,1,,,,,
space,0,0.9057,,,,,,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,33,33,33,1,,,,,
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,34,34,34,1,,,,,
space,1,0.5026,,,,,,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,35,35,35,1,,,,,
,1,,,,,,,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,36,36,36,1,,,,,
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,37,37,37,1,,,,,
,1,,,,,,,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,38,38,38,1,,,,,
,0,,,,,,,3,0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,39,39,39,1,,,,,
,1,,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,40,40,40,1,,,,,
space,0,1.0219,,,,,,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,41,41,41,1,,,,,
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,42,42,42,1,,,,,
space,1,0.5725,,,,,,4,-0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,43,43,43,1,,,,,
,1,,,,,,,8,0,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,44,44,44,1,,,,,
,1,,,,,,,5,0,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,45,45,45,1,,,,,
,1,,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,46,46,46,1,,,,,
,0,,,,,,,5,0,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,47,47,47,1,,,,,
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,48,48,48,1,,,,,
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,49,49,49,1,,,,,
,1,,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,50,50,50,1,,,,,
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,51,51,51,1,,,,,
,0,,,,,,,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,52,52,52,1,,,,,
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,53,53,53,1,,,,,
space,1,1.0308,,,,,,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,54,54,54,1,,,,,
space,0,0.6838,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,55,55,55,1,,,,,
,1,,,,,,,7,-0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,56,56,56,1,,,,,
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,57,57,57,1,,,,,
,0,,,,,,,7,-0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,58,58,58,1,,,,,
,1,,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,0,59,59,59,1,,,,,
,1,,,,,,,4,-0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,0,0,0,1
,1,,,,,,,2,0,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,1,1,1,1
,1,,,,,,,9,0.2,-0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,2,2,2,1
space,1,0.3507,,,,,,4,-0.2,0,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,3,3,3,1
,1,,,,,,,3,0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,4,4,4,1
space,1,0.4674,,,,,,9,0.2,-0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,5,5,5,1
space,0,0.4353,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,6,6,6,1
space,0,0.6327,,,,,,1,-0.2,0.2,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,7,7,7,1
space,0,0.8175,,,,,,6,0.2,0,,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,8,8,8,1
,0,,,,,,,1,-0.2,0.2,space,daniel macdonald,001,2022-03-01_14h37.22.238,nBackAlpha3,2020.1.3,Win32,60,,,,,,0,9,9,9,1
